title,,,
,,,
The Godfather,,,
The Dark Knight,,,
The Godfather Part 2,,,
12 Angry Men,,,
Schindlers List,,,
The Lord of the Rings The Return of the King,,,
Pulp Fiction,,,
The Lord of the Rings The Fellowship of the Ring,,,
The Good the Bad and the Ugly,,,
Forrest Gump,,,
Fight Club,,,
The Lord of the Rings The Two Towers,,,
Inception,,,
Star Wars Episode 5 The Empire Strikes Back,,,
The Matrix,,,
Goodfellas,,,
SpiderMan Across the SpiderVerse,,,
Interstellar,,,
One Flew Over the Cuckoos Nest,,,
Se7en,,,
Its a Wonderful Life,,,
Seven Samurai,,,
The Silence of the Lambs,,,
Saving Private Ryan,,,
City of God,,,
Life Is Beautiful,,,
The Green Mile,,,
Star Wars Episode 4 A New Hope,,,
Terminator 2 Judgment Day,,,
Spirited Away,,,
Oppenheimer,,,
Harakiri,,,
Back to the Future,,,
The Pianist,,,
Psycho,,,
Parasite,,,
Gladiator,,,
The Lion King,,,
Lacon The Professional,,,
American History ,,,
The Departed,,,
Whiplash,,,
The Prestige,,,
The Usual Suspects,,,
Grave of the Fireflies,,,
Casablanca,,,
The Intouchables,,,
Modern Times,,,
Cinema Paradiso,,,
Once Upon a Time in the West,,,
Rear Window,,,
Alien,,,
City Lights,,,
Django Unchained,,,
Apocalypse Now,,,
Memento,,,
Indiana Jones and the Raiders of the Lost Ark,,,
WALLAE,,,
The Lives of Others,,,
Sunset Blvd,,,
Paths of Glory,,,
Avengers Infinity War,,,
The Shining,,,
The Great Dictator,,,
Witness for the Prosecution,,,
Spider Man Into the Spider-Verse,,,
Aliens,,,
Inglourious Basterds,,,
The Dark Knight Rises,,,
Dr Strangelove or How I Learned to Stop Worrying and Love the Bomb,,,
Oldboy,,,
Coco,,,
Amadeus,,,
The Boat,,,
Avengers Endgame,,,
Joker,,,
Your Name,,,
3 Idiots,,,
High and Low,,,
Capernaum,,,
Come and See,,,
Toy Story,,,
American Beauty,,,
Braveheart,,,
Princess Mononoke,,,
Good Will Hunting,,,
Once Upon a Time in America,,,
Singin in the Rain,,,
Requiem for a Dream,,,
Toy Story 3,,,
Star Wars Episode 6  Return of the Jedi,,,
Eternal Sunshine of the Spotless Mind,,,
2001A Space Odyssey,,,
The Hunt,,,
Reservoir Dogs,,,
Ikiru,,,
Lawrence of Arabia,,,
Citizen Kane,,,
M,,,
There Will Be Blood,,,
The Equalizer,,,
